system:index,Date,Sentinel_AAI,Sentinel_NO2,.geo
59,2018-08-26,-0.8309625234895756,5.2408877916283836E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2018-08-28,-0.5427367519399351,2.361160396316538E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2018-08-30,-0.9515912738745812,5.504081847263626E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2018-08-31,-0.7829586080831119,5.239847236816405E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2018-09-05,-1.2555146643563673,9.483082261755132E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2018-09-06,-1.5437404007113213,5.533133207192579E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2018-09-07,-1.5859412934330142,7.78241320750366E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2018-09-08,-0.7066392624792318,3.665579804701461E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2018-09-09,-0.834177439273377,5.779018100644223E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2018-09-10,-1.0652808718738254,1.096962509964206E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2018-09-11,-1.7723218234864078,4.94342858930664E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2018-09-12,-0.7019658366679369,4.8258573562208156E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2018-09-13,0.14028481870356613,5.291616978317952E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2018-09-14,-0.32845429954972166,4.079062999455435E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2018-09-15,-0.5120391686995389,7.346534959679185E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2018-09-16,-0.28880546063013796,5.27073890099464E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2018-09-17,0.012095965136355332,5.378096880153911E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2018-09-18,0.19965271380415064,6.898172905354665E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2018-09-19,-0.35572974357692616,7.213329478549778E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2018-09-20,-0.7318625895190313,1.1652051775712999E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2018-09-21,-1.3316674388677268,7.384104680232032E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2018-09-25,-0.6407277808820343,3.5058869211999505E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2018-09-26,-0.7528659356470172,7.35744078815909E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2018-09-27,-0.9001474275905893,7.797930665720586E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2018-09-28,-0.4815784478658802,9.392968499235712E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2018-09-29,-0.07058551732930551,1.2115518290668955E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2018-09-30,-0.3696610196508357,6.212678944609913E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2018-10-01,-0.4107959966137621,8.054901828067735E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2018-10-02,-0.5990851081312035,7.018976324719075E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2018-10-03,-0.544490968488126,9.331913407500744E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2018-10-04,0.040461788578043154,1.4917764668932477E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2018-10-05,-0.2925984744045239,1.7201744977932867E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2018-10-06,-0.16431652261804933,9.799064643879159E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2018-10-07,-0.4284017910256357,9.321033044253492E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2018-10-08,-0.15694957778492058,1.3684246292547554E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2018-10-09,-0.13433330074988994,1.2679630064637296E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2018-10-10,0.29573703071371293,1.3968336692831665E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2018-10-11,-0.1937134666671532,1.023325060397902E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2018-10-12,-0.7263141569562275,1.771059260518825E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2018-10-13,-0.6812597641895779,9.28424191414502E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2018-10-14,-0.3535248136025803,6.749089696534E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2018-10-15,0.35902402739831474,1.078398659657432E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2018-10-16,-0.16220695606715715,9.205832871864665E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2018-10-17,-0.30321035047135,1.1578422926002397E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2018-10-18,-0.7480075829473428,1.0446806202913503E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2018-10-19,0.5074493719979619,1.1909736497993901E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
